,iname,idx
12470,Kim_Yong-il_0001.jpg,5530
7052,Placido_Domingo_0001.jpg,3009
6361,Alejandro_Avila_0001.jpg,2678
10127,Victoria_Beckham_0001.jpg,4327
729,George_Voinovich_0001.jpg,275
9465,Jon_Corzine_0001.jpg,4061
3704,Jim_Carrey_0001.jpg,1351
12176,Ken_Macha_0001.jpg,5387
12698,Ozzy_Osbourne_0001.jpg,5583
9468,Jon_Gruden_0001.jpg,4062
3152,Recep_Tayyip_Erdogan_0004.jpg,1070
10900,Wang_Yingfan_0001.jpg,4756
11493,Eduardo_Duhalde_0001.jpg,5050
6427,Matthew_Broderick_0001.jpg,2709
2399,Melanie_Griffith_0001.jpg,666
12184,Kevin_Costner_0002.jpg,5391
8791,Paul_Martin_0001.jpg,3764
590,Mark_Wahlberg_0001.jpg,210
7914,Susan_Sarandon_0001.jpg,3378
7448,Winona_Ryder_0002.jpg,3183
12353,Tommy_Robredo_0001.jpg,5486
10018,Mireya_Moscoso_0001.jpg,4292
2923,Kimi_Raikkonen_0001.jpg,949
6598,Michelle_Pfeiffer_0001.jpg,2814
9038,Jan-Michael_Gambill_0001.jpg,3877
2572,Jonathan_Edwards_0002.jpg,757
7002,Zhang_Ziyi_0001.jpg,2983
11748,Fernando_Vargas_0001.jpg,5156
4223,Carly_Fiorina_0001.jpg,1636
3624,Christine_Baumgartner_0001.jpg,1307
8949,Jim_OBrien_0001.jpg,3835
4200,Carlos_Ortega_0001.jpg,1623
7095,Bono_0001.jpg,3034
5510,Vladimiro_Montesinos_0001.jpg,2267
3894,Horst_Koehler_0001.jpg,1475
